AnnualRevenue,City,Company,Country,Description,Email,EmailBouncedDate,EmailBouncedReason,FirstName,GeocodeAccuracy,Guid,IndividualId,Industry,IsConverted,IsUnreadByOwner,Jigsaw,LastName,Latitude,LeadSource,Longitude,NumberOfEmployees,OwnerId,Phone,PostalCode,Rating,Salutation,State,Status,Street,Title,Website
,,regression,,,,,,12.9,,dc9bb2a8-2d31-437b-8642-6c2aeec2607a,,,false,false,,regression,,,,,,,,,,,Qualified,,,
,,2,,,,,,12.9,,7b905e45-4d13-4a05-8a22-1df276cae834,,,false,false,,2,,,,,,,,,,,Unqualified,,,
19879.0,Hartford,BigLife Inc.,United States,,info@salesforce.com,,,Jim,,0e0f4b5a-7d2e-40e3-8dd2-3a666665d7e3,,Insurance,false,true,,Steele,,Employee Referral,,28000,,(555) 555-1212,6156,,,Connecticut,New,11 Farm Avenue,Senior VP,
,,ddd,,,,,,,,44c1a569-0808-4aaf-9ef9-4a16b888b674,,,false,true,,kjkjkjk,,,,,,,,,,,New,,aaaaa,
,,test,,,,,,Test,,5beca75d-a808-4035-9283-a8bfbf416730,,,false,true,,test,,,,,,,,,,,Qualified,,,
,,mememee,,,,,,,,3f135d4e-1b26-45d6-b7ba-6a346094a0a7,,,false,true,,mememe,,,,,,,,,,,New,,,
,,Test,,,,,,Lead,,0439f1a7-1372-4374-b9e4-3082fef00902,,,false,true,,1,,,,,,,,,Mr.,,Contacted,,,
16867.0,Marlborough,3C Systems,United States,,info@salesforce.com,,,John,,af3c6614-32b2-4592-a179-4f61d9f0b8a9,,Aerospace & Defense,false,true,,Gardner,,Other,,87200,,(555) 555-1212,1752,,Mr.,Massachusetts,New,1 Boston Rd,Exec VP,
,,any,,,,,,New,,3db53571-7d06-41a0-8dff-43231c3a8ea6,,,false,true,,11.21,,,,,,,,,Mr.,,New,,,
,,test 2,,,,,,test 3,,35dcd53f-33a2-464f-8d7e-6d38e3cd79c4,,,false,true,,test,,,,,,,,Hot,,,New,,,
,,tran,,,,,,,,2d10ea4d-779c-43e0-84c8-b9eb2c531d5e,,Consulting,false,true,,tran,,Employee Referral,,,,,,,,,Nurturing,,,
,,new,,,,,,new,,606ecb99-9ba0-4ae1-9a25-a219017a43ff,,,false,true,,new,,,,,,,,,,,Qualified,,,
,,12.10,,,,,,12.10,,bc2fbad6-c62e-4aaf-ad14-78e2133dec2a,,,false,true,,12.10,,,,,,,,,,,New,,,
,,ttt,,,,,,,,7c602514-37e9-4c15-94a8-136d54e8424d,,,false,true,,ttttt,,,,,,,,,,,New,,,
,,a,,,,,,,,699f0bbd-a11d-442d-8154-99230208acb4,,,false,true,,test,,,,,,+3233333300,,,,,New,,,
,,yyyy,,,,,,,,81e5addf-5264-4f39-b3fe-764192021ad5,,,false,true,,yyyy,,,,,,,,,,,New,,,
,,regression,,,,,,12.9,,6afb1a79-cd29-4b2f-bb58-3b6a4282ba2a,,,false,true,,regression,,,,,,,,,,,Qualified,,,
,,Aaa,,,,,,John,,28260e23-0150-4412-a20d-eb6e344de492,,,false,true,,Wick,,,,,,,,,,,New,,,
,,amp,,,,,,,,f8a9c03b-6a84-4b64-942a-d561ddd08941,,,false,true,,amp,,,,,,,,,,,New,,ddd,
28212.0,Hartford,Universal Technologies,United States,,info@salesforce.com,,,Andy,,3c046fd8-4721-49f1-bf9e-7ebd2a0a2773,,Aerospace & Defense,false,true,,Smith,,Advertisement,,155000,,(555) 555-1212,6103,,Mr.,Connecticut,New,Universal Building,Vice President,
33147.0,New York,"MedLife, Inc.",United States,,info@salesforce.com,,,Sarah,,a14ee880-d5a7-49ea-beca-3ad3709e391d,,Insurance,false,true,,Loehr,,Employee Referral,,48500,,(555) 555-1212,10010,,,New York,Contacted,One Jones Avenue,System Administrator,
,,leads,,,,,,leads 1,,0db18f69-05f0-4d93-bcdf-ac9953587b9e,,,false,true,,leads,,,,,,,,,,,New,,,
,,Any,,,,,,,,644bad87-2f76-400a-b94f-948b54836ae8,,,false,true,,anyLead,,,,,,,,,Mr.,,Contacted,,,
,,Round,,,,,,,,3c4cf953-5cf6-469d-88eb-93f26e18d2b0,,,false,true,,Circle,,,,,,,,,,,New,,,
,,wee,,,,,,,,e3ba32d3-e0a4-4d6c-be6f-218c19598a97,,,false,true,,wee,,,,,,,,,,,New,,,
,,Any,,,,,,,,2b43872a-6b51-4182-8588-4523db15d07c,,,false,true,,anyLead,,,,,,,,,Mr.,,Contacted,,,
,,2,,,,,,12.10,,adf5608e-8cdf-40e4-aa87-499211e6e111,,,false,true,,12.10 2,,,,,,,,,,,New,,,
,,ajmp,,,,,,ajmp,,af9293de-b46e-4b77-9a8c-c6527d79d2b5,,,false,true,,ajmp,,,,,,,,,,,New,,,
,,atata,,,,,,,,551400d6-a7a2-432f-91f4-2c522bdef29b,,,false,true,,tata,,,,,,,,,,,New,,atta,
,,lead,,,,,,,,db8e34f1-13d9-41f2-a2aa-4cd2580ed471,,,false,true,,lead,,,,,,lead,,,,,Contacted,,,
,,eeeeeeeeehe,,,,,,ehehee,,dd610fae-fbbf-4cf1-96ce-533b853f2845,,,false,true,,eheheee,,,,,,,,,,,New,,,
,,123,,,,,,,,99dff7ea-8e62-486a-92b5-15d8b5f636b7,,,false,true,,123,,,,,,,,,,,New,,,
,,2,,,,,,12.9,,5ffc1c45-8157-48cd-96fd-2a7ff83bfeac,,,false,true,,2,,,,,,,,,,,Unqualified,,,
,,456,,,,,,456,,e50883fe-66ff-4e9c-8d85-675e85ed8129,,,false,true,,456,,,,,,,,,,,New,,,
,,bleh,,,,,,,,1a5684a9-d614-41cb-94cb-fdbc23b8234d,,,false,true,,bleh,,,,,,,,,,,New,,,
19879.0,Hartford,BigLife Inc.,United States,,info@salesforce.com,,,Jim,,74480aaa-44a0-4550-9fcd-81a2fa938996,,Insurance,false,true,,Steele,,Employee Referral,,28000,,(555) 555-1212,6156,,,Connecticut,New,11 Farm Avenue,Senior VP,
28212.0,Hartford,Universal Technologies,United States,,info@salesforce.com,,,Andy,,d28dcf36-894d-4fc8-aced-665a0e40f807,,Aerospace & Defense,false,true,,Smith,,Advertisement,,155000,,(555) 555-1212,6103,,Mr.,Connecticut,New,Universal Building,Vice President,
33147.0,New York,"MedLife, Inc.",United States,,info@salesforce.com,,,Sarah,,bc2f4a62-3917-4db6-bcf3-41b3dadabdf3,,Insurance,false,true,,Loehr,,Employee Referral,,48500,,(555) 555-1212,10010,,,New York,Contacted,One Jones Avenue,System Administrator,
16867.0,Marlborough,3C Systems,United States,,info@salesforce.com,,,John,,85557673-abd9-4794-955d-468e8e609a2c,,Aerospace & Defense,false,true,,Gardner,,Other,,87200,,(555) 555-1212,1752,,Mr.,Massachusetts,New,1 Boston Rd,Exec VP,
,,Any,,,,,,,,76543c30-7645-495d-8791-c33f2069e346,,,false,true,,anyLead,,,,,,,,,Mr.,,Contacted,,,
,,test,,,,,,,,03323fee-02dc-4ca5-8163-08d16cc476b1,,,false,false,,audit,,,,,,,,,,,New,,,
19879.0,Hartford,BigLife Inc.,United States,,info@salesforce.com,,,Jim,,f2c685c4-d1ef-4a2d-842a-4fedaa4e0cb0,,Insurance,false,true,,Steele,,Employee Referral,,28000,,(555) 555-1212,6156,,,Connecticut,New,11 Farm Avenue,Senior VP,
,,ddd,,,,,,,,eb83dbe0-f921-4596-af30-d67e9b8a5c75,,,false,true,,kjkjkjk,,,,,,,,,,,New,,aaaaa,
,,mememee,,,,,,,,80c2b4f1-0b06-438e-941c-a20e90c7e547,,,false,true,,mememe,,,,,,,,,,,New,,,
,,test,,,,,,Test,,d4acabba-5d51-4e1f-9e2c-2dc1ca5c56fd,,,false,true,,test,,,,,,,,,,,Qualified,,,
,,Test,,,,,,Lead,,87d11794-7180-4bdf-b666-eb64544f8538,,,false,true,,1,,,,,,,,,Mr.,,Contacted,,,
16867.0,Marlborough,3C Systems,United States,,info@salesforce.com,,,John,,52a654d6-0697-414d-b686-982168646e5f,,Aerospace & Defense,false,true,,Gardner,,Other,,87200,,(555) 555-1212,1752,,Mr.,Massachusetts,New,1 Boston Rd,Exec VP,
,,any,,,,,,New,,4886e0e3-9b1c-486f-888b-0bdf2cf435e4,,,false,true,,11.21,,,,,,,,,Mr.,,New,,,
,,test 2,,,,,,test 3,,0277db72-60ce-468a-8ca8-7f8e278ce3d8,,,false,true,,test,,,,,,,,Hot,,,New,,,
,,tran,,,,,,,,dbf713cb-ee7f-460b-89b1-ae824f9fdf40,,Consulting,false,true,,tran,,Employee Referral,,,,,,,,,Nurturing,,,
,,new,,,,,,new,,8f3b8ea0-a553-4719-9149-82d5aa67d128,,,false,true,,new,,,,,,,,,,,Qualified,,,
,,12.10,,,,,,12.10,,949b4d7b-f7c7-40bc-aa4a-af8f6753f68c,,,false,true,,12.10,,,,,,,,,,,New,,,
,,ttt,,,,,,,,da55257a-88d0-4fa3-812f-811c310e3142,,,false,true,,ttttt,,,,,,,,,,,New,,,
,,a,,,,,,,,589c9b2f-e1ef-4b7a-a1dc-439e9cfb1727,,,false,true,,test,,,,,,+3233333300,,,,,New,,,
,,yyyy,,,,,,,,04824660-df67-470e-8c7d-aa807d01b352,,,false,true,,yyyy,,,,,,,,,,,New,,,
,,regression,,,,,,12.9,,eea703e2-e7d6-4512-a190-e2570af2e05d,,,false,true,,regression,,,,,,,,,,,Qualified,,,
,,Aaa,,,,,,John,,4dd06e8d-de8b-4944-b25c-aa848251818f,,,false,true,,Wick,,,,,,,,,,,New,,,
,,amp,,,,,,,,57585721-d8b1-4cb4-8d98-de67279a823f,,,false,true,,amp,,,,,,,,,,,New,,ddd,
28212.0,Hartford,Universal Technologies,United States,,info@salesforce.com,,,Andy,,e1eda10f-f6f6-4136-9403-98d67c1fa93e,,Aerospace & Defense,false,true,,Smith,,Advertisement,,155000,,(555) 555-1212,6103,,Mr.,Connecticut,New,Universal Building,Vice President,
33147.0,New York,"MedLife, Inc.",United States,,info@salesforce.com,,,Sarah,,ec582b2b-dbac-46a1-abb7-4d6e0c67a51d,,Insurance,false,true,,Loehr,,Employee Referral,,48500,,(555) 555-1212,10010,,,New York,Contacted,One Jones Avenue,System Administrator,
,,leads,,,,,,leads 1,,1731a054-ae47-4e86-98ba-f4e27a4ae1ad,,,false,true,,leads,,,,,,,,,,,New,,,
,,test,,,,,,,,88da6c56-d433-4115-a2c6-1494e852915a,,,false,true,,audit,,,,,,,,,,,New,,,
,,Any,,,,,,,,accaec2c-282c-49d3-b06f-1b0612e2177d,,,false,true,,anyLead,,,,,,,,,Mr.,,Contacted,,,
,,Round,,,,,,,,b2180d88-5b41-4e83-b739-c1b019eaf281,,,false,true,,Circle,,,,,,,,,,,New,,,
,,Any,,,,,,,,44fb2466-a131-4e39-84ed-e54ab719e6bf,,,false,true,,anyLead,,,,,,,,,Mr.,,Contacted,,,
,,wee,,,,,,,,8d3f59a7-f5a8-4460-916c-0d29734fd03e,,,false,true,,wee,,,,,,,,,,,New,,,
,,2,,,,,,12.10,,a6f3298d-a31e-443a-b71a-bdcb85245516,,,false,true,,12.10 2,,,,,,,,,,,New,,,
,,ajmp,,,,,,ajmp,,7252b188-7646-4c04-8274-9c5f3f0dbac5,,,false,true,,ajmp,,,,,,,,,,,New,,,
,,atata,,,,,,,,f878c0b4-6526-4af9-a85b-296c588f601b,,,false,true,,tata,,,,,,,,,,,New,,atta,
,,lead,,,,,,,,5678f795-652c-46c1-82c5-88097264513e,,,false,true,,lead,,,,,,lead,,,,,Contacted,,,
,,eeeeeeeeehe,,,,,,ehehee,,89eb6f7a-64fe-44af-80f7-d1ac988863cd,,,false,true,,eheheee,,,,,,,,,,,New,,,
,,123,,,,,,,,bbaef69f-68fa-4d4b-9897-69f1bcb8c5e0,,,false,true,,123,,,,,,,,,,,New,,,
,,2,,,,,,12.9,,bbc264a0-46a4-49f3-9a5d-3371de099f14,,,false,true,,2,,,,,,,,,,,Unqualified,,,
,,456,,,,,,456,,deb9a6b5-b08e-4ba9-8326-110e1d08952f,,,false,true,,456,,,,,,,,,,,New,,,
,,bleh,,,,,,,,0a5ad6ca-60eb-4bd2-835e-adb0cfaf432e,,,false,true,,bleh,,,,,,,,,,,New,,,
